"name","MissedLines","CoveredLines"
"nuri/foundation/api/auth","18","5"
"nuri/foundation/service/stats","43","23"
"nuri/foundation/service/system/service/consult","0","29"
"nuri/foundation/service/isg","0","30"
"nuri/foundation/service/user","24","144"
"nuri/foundation/domain/menu","54","58"
"nuri/foundation/service/auth","27","115"
"nuri/foundation/domain/login","23","4"
"nuri/foundation/domain/user/mapper","26","1"
"nuri/foundation/domain/system/policy","0","3"
"nuri/foundation/service/user/mapper","44","31"
"nuri/foundation/service/system/content/popup","2","43"
"nuri/foundation/domain/mypage","7","8"
"nuri/foundation/domain/system/content/banner","0","8"
"nuri/foundation/service/template","41","6"
"nuri/foundation/domain/user/repository","75","65"
"nuri/foundation/api/controller/code","70","21"
"nuri/foundation/core/util","28","37"
"nuri/foundation/security/audit","0","11"
"nuri/foundation/domain/system/service/consult","0","21"
"nuri/foundation/service/sec","1","89"
"nuri/foundation/domain/template","10","0"
"nuri/foundation/security/iam","22","74"
"nuri/foundation/service/system/content/community","2","55"
"nuri/foundation/service/mypage","0","23"
"nuri/foundation/service/operation","0","135"
"nuri/foundation/domain/workspace","0","14"
"nuri/foundation/core/exception","9","59"
"nuri/foundation/domain/stats",,
"nuri/foundation/repository/operation",,
"nuri/foundation/service/login","3","43"
"nuri/foundation/api/controller/system/log","20","2"
"nuri/foundation/domain/group","0","4"
"nuri/foundation/repository/code",,
"nuri/foundation/service/menu","62","263"
"nuri/foundation/constants","7","0"
"nuri/foundation/service/system/user/impl","0","9"
"nuri/foundation/api/controller/system/login","4","19"
"nuri/foundation/domain/system/service/survey","0","18"
"nuri/foundation/domain/program","0","12"
"nuri/foundation/core/service","32","4"
"nuri/foundation/domain/system",,
"nuri/foundation/service/system/user",,
"nuri/foundation/api/controller/system/template","4","0"
"nuri/foundation/api/controller/menu","41","1"
"nuri/foundation/core/response",,
"nuri/foundation/domain/system/content/popup","13","11"
"nuri/foundation/api/controller/system/service/survey","24","7"
"nuri/foundation/security/annotation",,
"nuri/foundation/domain/user/entity","6","95"
"nuri/foundation/service/auth/impl","2","21"
"nuri/foundation/domain/common","3","9"
"nuri/foundation/core/config","3","21"
"nuri/foundation/service/group","9","30"
"nuri/foundation/security/jwt","25","64"
"nuri/foundation/domain/code","17","215"
"nuri/foundation/core/storage",,
"nuri/foundation/domain/operation","0","53"
"nuri/foundation/api/controller/system/stats","26","0"
"nuri/foundation/service/program","10","38"
"nuri/foundation/service/system/policy","7","13"
"nuri/foundation/repository/workspace",,
"nuri/foundation/security/service","14","8"
"nuri/foundation/api/controller/system","51","91"
"nuri/foundation/api/controller/system/user","0","4"
"nuri/foundation/service/code","52","281"
"nuri/foundation/service/workspace","3","26"
"nuri/foundation/service/log","1","78"
"nuri/foundation/api/controller/system/policy","22","1"
"nuri/foundation/domain/system/content/community","0","17"
"nuri/foundation/service/system/service/survey","7","198"
"nuri/foundation/security/util","0","15"
"nuri/foundation/domain/isg","0","4"
"nuri/foundation/service/system/service/qna",,
"nuri/foundation/security/resolver","0","7"
"nuri/foundation/domain/log","125","106"
"nuri/foundation/domain/auth","98","72"
"nuri/foundation/domain/user/vo",,
"nuri/foundation/service/system/content/banner","0","30"
"nuri/foundation/service/usermanagement","7","102"
"nuri/foundation/api/controller/system/service/isg","0","11"
"nuri/foundation/security/filter","8","20"
