"File","Line","Column","Message","RuleId"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","5","20","'useMutation' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","10","2","'Mail' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","15","2","'Trash2' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","19","2","'ChevronRight' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","20","2","'ArrowUpRight' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","21","2","'User' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","22","2","'Clock' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","23","2","'Phone' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","24","2","'Globe' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","25","2","'Star' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","26","2","'Sparkles' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","27","2","'Layers' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","28","2","'Send' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","29","2","'MessageSquare' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","30","2","'Loader2' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","31","2","'ShieldCheck' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","36","3","'Tooltip' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","37","3","'TooltipContent' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","39","3","'TooltipTrigger' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","46","10","'motion' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","46","18","'AnimatePresence' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\CollaborationHubClient.tsx","58","10","'toast' is assigned a value but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\address-book\insert-address-book\AddressBookInsertHubClient.tsx","9","2","'MapPin' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\address-book\insert-address-book\AddressBookInsertHubClient.tsx","15","2","'Star' is defined but never used.","@typescript-eslint/no-unused-vars"
"D:\project\egov-enterprise\frontend\src\app\admin\collaboration\address-book\insert-address-book\AddressBookInsertHubClient.tsx","17","2","'Layers' is defined but never used.","@typescript-eslint/no-unused-vars"
