MENU_NO|MENU_NM|UPPER_MENU_NO|PROGRM_FILE_NM|ORIG_URL|ORIG_STRE_PATH
0|root|0|dir|dir|dir
1000000|사용자디렉토리/통합인증|0|dir|dir|dir
1010000|로그인|1000000|egovLoginUsr|/uat/uia/egovLoginUsr.do|/uat/uia/
1020000|로그인정책관리|1000000|selectLoginPolicyList|/uat/uap/selectLoginPolicyList.do|/uat/uap/
2000000|보안|0|dir|dir|dir
2010000|권한관리|2000000|EgovAuthorList|/sec/ram/EgovAuthorList.do|/sec/ram/
2020000|권한그룹관리|2000000|EgovAuthorGroupList|/sec/rgm/EgovAuthorGroupList.do|/sec/rgm/
2030000|그룹관리|2000000|EgovGroupList|/sec/gmt/EgovGroupList.do|/sec/gmt/
2040000|롤관리|2000000|EgovRoleList|/sec/rmt/EgovRoleList.do|/sec/rmt/
2050000|부서권한관리|2000000|EgovDeptAuthorList|/sec/drm/EgovDeptAuthorList.do|/sec/drm/
3000000|통계/리포팅|0|dir|dir|dir
3010000|게시물통계|3000000|selectBbsStats|/sts/bst/selectBbsStats.do|/sts/bst/
3020000|사용자통계|3000000|selectUserStats|/sts/ust/selectUserStats.do|/sts/ust/
3030000|접속통계|3000000|selectConectStats|/sts/cst/selectConectStats.do|/sts/cst/
3040000|화면통계|3000000|selectScrinStats|/sts/sst/selectScrinStats.do|/sts/sst/
3050000|보고서통계|3000000|selectReprtStatsListView|/sts/rst/selectReprtStatsListView.do|/sts/rst/
3060000|자료이용현황통계|3000000|selectDtaUseStatsList|/sts/dst/selectDtaUseStatsList.do|/sts/dst/
4000000|협업|0|dir|dir|dir
4010000|게시판속성관리|4000000|SelectBBSMasterInfs|/cop/bbs/SelectBBSMasterInfs.do|/cop/bbs/
4020000|게시판사용정보|4000000|selectBBSUseInfs|/cop/com/selectBBSUseInfs.do|/cop/com/
4030000|템플릿관리|4000000|selectTemplateInfs|/cop/tpl/selectTemplateInfs.do|/cop/tpl/
4040000|스크랩 목록|4000000|selectScrapList|/cop/scp/selectScrapList.do|/cop/scp/
4050000|커뮤니티관리|4000000|selectCmmntyInfs|/cop/cmy/selectCmmntyInfs.do|/cop/cmy/
4060000|문자메시지|4000000|selectSmsList|/cop/sms/selectSmsList.do|/cop/sms/
4070000|부서일정관리|4000000|EgovDeptSchdulManageList|/cop/smt/sdm/EgovDeptSchdulManageList.do|/cop/smt/sdm/
4080000|일정관리|4000000|EgovIndvdlSchdulManageList|/cop/smt/sim/EgovIndvdlSchdulManageList.do|/cop/smt/sim/
4090000|일지관리|4000000|EgovDiaryManageList|/cop/smt/dsm/EgovDiaryManageList.do|/cop/smt/dsm/
4100000|전체일정관리|4000000|EgovAllSchdulManageList|/cop/smt/sam/EgovAllSchdulManageList.do|/cop/smt/sam/
4110000|메일발송|4000000|insertSndngMailView|/cop/ems/insertSndngMailView.do|/cop/ems/
4120000|발송메일내역|4000000|selectSndngMailList|/cop/ems/selectSndngMailList.do|/cop/ems/
4130000|명함관리|4000000|selectNcrdInfs|/cop/ncm/selectNcrdInfs.do|/cop/ncm/
4140000|내명함목록|4000000|selectMyNcrdUseInf|/cop/ncm/selectMyNcrdUseInf.do|/cop/ncm/
4150000|주소록관리|4000000|selectAdbkList|/cop/adb/selectAdbkList.do|/cop/adb/
4160000|간부일정관리|4000000|selectLeaderSchdulList|/cop/smt/lsm/usr/selectLeaderSchdulList.do|/cop/smt/lsm/usr/
4170000|부서업무함관리|4000000|selectDeptJobBxList|/cop/smt/djm/selectDeptJobBxList.do|/cop/smt/djm/
4180000|부서업무정보|4000000|selectDeptJobList|/cop/smt/djm/selectDeptJobList.do|/cop/smt/djm/
4190000|주간/월간보고관리|4000000|selectWikMnthngReprtList|/cop/smt/wmr/selectWikMnthngReprtList.do|/cop/smt/wmr/
4200000|메모할일관리|4000000|selectMemoTodoList|/cop/smt/mtm/selectMemoTodoList.do|/cop/smt/mtm/
4210000|메모보고|4000000|selectMemoReprtList|/cop/smt/mrm/selectMemoReprtList.do|/cop/smt/mrm/
5000000|사용자지원|0|dir|dir|dir
5010000|기업회원관리|5000000|EgovEntrprsMberManage|/uss/umt/EgovEntrprsMberManage.do|/uss/umt/
5020000|업무사용자관리|5000000|EgovUserManage|/uss/umt/EgovUserManage.do|/uss/umt/
5030000|부서관리|5000000|selectDeptManageListView|/uss/umt/dpt/selectDeptManageListView.do|/uss/umt/dpt/
5040000|일반회원관리|5000000|EgovMberManage|/uss/umt/EgovMberManage.do|/uss/umt/
5050000|마이페이지관리|5000000|EgovIndvdlpgeCntntsList|/uss/mpe/EgovIndvdlpgeCntntsList.do|/uss/mpe/
5060000|약관관리|5000000|StplatListInqire|/uss/sam/stp/StplatListInqire.do|/uss/sam/stp/
5070000|저작권보호정책|5000000|CpyrhtPrtcPolicyListInqire|/uss/sam/cpy/CpyrhtPrtcPolicyListInqire.do|/uss/sam/cpy/
5080000|개인정보보호정책확인|5000000|listIndvdlInfoPolicy|/uss/sam/ipm/listIndvdlInfoPolicy.do|/uss/sam/ipm/
5090000|도움말|5000000|HpcmListInqire|/uss/olh/hpc/HpcmListInqire.do|/uss/olh/hpc/
5100000|용어사전|5000000|WordDicaryListInqire|/uss/olh/wor/WordDicaryListInqire.do|/uss/olh/wor/
5110000|FAQ관리|5000000|FaqListInqire|/uss/olh/faq/FaqListInqire.do|/uss/olh/faq/
5120000|Q&A관리|5000000|QnaListInqire|/uss/olh/qna/QnaListInqire.do|/uss/olh/qna/
5130000|Q&A답변관리|5000000|QnaAnswerListInqire|/uss/olh/qnm/QnaAnswerListInqire.do|/uss/olh/qnm/
5140000|행정전문용어사전|5000000|listAdministrationWord|/uss/olh/awm/listAdministrationWord.do|/uss/olh/awm/
5150000|행정전문용어사전관리|5000000|listAdministrationWordManage|/uss/olh/awm/listAdministrationWordManage.do|/uss/olh/awm/
5160000|온라인매뉴얼|5000000|listOnlineManual|/uss/olh/omm/selectOnlineManualList.do|/uss/olh/omm/
5170000|사용자온라인매뉴얼|5000000|OnlineManualUserList|/uss/olh/omn/selectOnlineManualList.do|/uss/olh/omn/
5180000|상담관리|5000000|CnsltListInqire|/uss/olp/cns/CnsltListInqire.do|/uss/olp/cns/
5190000|상담답변관리|5000000|CnsltAnswerListInqire|/uss/olp/cnm/CnsltAnswerListInqire.do|/uss/olp/cnm/
5200000|설문관리|5000000|EgovQustnrManageList|/uss/olp/qmc/EgovQustnrManageList.do|/uss/olp/qmc/
5210000|설문조사|5000000|EgovQustnrRespondInfoManageList|/uss/olp/qnn/EgovQustnrRespondInfoManageList.do|/uss/olp/qnn/
