menu_no,menu_nm,progrm_file_nm,url,linked
0,root,dir,/ssi/syi/sim/getSystemCntcList.do,O
1000000,사용자디렉토리/통합인증,dir,/ssi/syi/sim/getSystemCntcList.do,O
1010000,로그인,egovLoginUsr,/uat/uia/egovLoginUsr.do,O
1020000,로그인정책관리,selectLoginPolicyList,/uat/uap/selectLoginPolicyList.do,O
2000000,보안,dir,/ssi/syi/sim/getSystemCntcList.do,O
2010000,권한관리,EgovAuthorList,/sec/ram/EgovAuthorList.do,O
2020000,권한그룹관리,EgovAuthorGroupList,/sec/rgm/EgovAuthorGroupList.do,O
2030000,그룹관리,EgovGroupList,/sec/gmt/EgovGroupListView.do,O
2040000,롤관리,EgovRoleList,/sec/rmt/EgovRoleList.do,O
2050000,부서권한관리,EgovDeptAuthorList,/sec/ram/EgovAuthorList.do,O
3000000,통계/리포팅,dir,/ssi/syi/sim/getSystemCntcList.do,O
3010000,게시물통계,selectBbsStats,/sts/bst/selectBbsStats.do,O
3020000,사용자통계,selectUserStats,/sts/ust/selectUserStats.do,O
3030000,접속통계,selectConectStats,/sts/cst/selectConectStats.do,O
3040000,화면통계,selectScrinStats,/sts/sst/selectScrinStats.do,O
3050000,보고서통계,selectReprtStatsListView,/sts/rst/selectReprtStatsList.do,O
3060000,자료이용현황통계,selectDtaUseStatsList,/sts/dst/getDtaUseStats.do,O
4000000,협업,dir,/ssi/syi/sim/getSystemCntcList.do,O
4010000,게시판속성관리,SelectBBSMasterInfs,/cop/bbs/selectBBSMasterInfs.do,O
4020000,게시판사용정보,selectBBSUseInfs,/cop/bbs/EgovArticleList.do,O
4030000,템플릿관리,selectTemplateInfs,/cop/com/EgovTemplateInqirePopup.do,O
4040000,스크랩 목록,selectScrapList,/cop/scp/selectArticleScrapDetail.do,O
4050000,커뮤니티관리,selectCmmntyInfs,/cop/cmy/EgovCommuMain.do,O
4060000,문자메시지,selectSmsList,/cop/sms/EgovSmsInfoList.do,O
4070000,부서일정관리,EgovDeptSchdulManageList,/cop/smt/sdm/EgovDeptSchdulManageList.do,O
4080000,일정관리,EgovIndvdlSchdulManageList,/cop/smt/sim/EgovIndvdlSchdulManageList.do,O
4090000,일지관리,EgovDiaryManageList,/cop/smt/dsm/EgovDiaryManageList.do,O
4100000,전체일정관리,EgovAllSchdulManageList,/cop/smt/sam/EgovAllSchdulManageList.do,O
4110000,메일발송,insertSndngMailView,/cop/ems/EgovMailRegist.do,O
4120000,발송메일내역,selectSndngMailList,/cop/ems/EgovMailDtls.do,O
4130000,명함관리,selectNcrdInfs,/cop/ncm/selectNcrdInfs.do,O
4140000,내명함목록,selectMyNcrdUseInf,/cop/ncm/selectMyNcrdUseInf.do,O
4150000,주소록관리,selectAdbkList,/cop/adb/EgovAddressBookList.do,O
4160000,간부일정관리,selectLeaderSchdulList,/cop/smt/lsm/usr/selectLeaderSchdulDailyList.do,O
4170000,부서업무함관리,selectDeptJobBxList,/cop/smt/djm/EgovDeptJobBxList.do,O
4180000,부서업무정보,selectDeptJobList,/cop/smt/djm/EgovDeptJobBxList.do,O
4190000,주간/월간보고관리,selectWikMnthngReprtList,/cop/smt/wmr/EgovWikMnthngReprtDetail.do,O
4200000,메모할일관리,selectMemoTodoList,/cop/smt/mtm/selectMemoTodo.do,O
4210000,메모보고,selectMemoReprtList,/cop/smt/mrm/selectMemoReprt.do,O
5000000,사용자지원,dir,/ssi/syi/sim/getSystemCntcList.do,O
5010000,기업회원관리,EgovEntrprsMberManage,/uss/umt/EgovEntrprsMberManage.do,O
5020000,업무사용자관리,EgovUserManage,/uss/umt/EgovUserManage.do,O
5030000,부서관리,selectDeptManageListView,/sec/drm/EgovDeptAuthorList.do,O
5040000,일반회원관리,EgovMberManage,/uss/umt/EgovMberManage.do,O
5050000,마이페이지관리,EgovIndvdlpgeCntntsList,/uss/mpe/EgovIndvdlPgeList.do,O
5060000,약관관리,StplatListInqire,/uss/sam/stp/StplatListInqire.do,O
5070000,저작권보호정책,CpyrhtPrtcPolicyListInqire,/uss/sam/cpy/CpyrhtPrtcPolicyListInqire.do,O
5080000,개인정보보호정책확인,listIndvdlInfoPolicy,/uss/sam/ipm/EgovIndvdlInfoPolicyDetail.do,O
5090000,도움말,HpcmListInqire,/uss/olh/hpc/selectHpcmList.do,O
5100000,용어사전,WordDicaryListInqire,/uss/olh/wor/selectWordDicaryList.do,O
5110000,FAQ관리,FaqListInqire,/uss/olh/faq/selectFaqList.do,O
5120000,Q&amp;A관리,QnaListInqire,/uss/olh/qna/selectQnaList.do,O
5130000,Q&amp;A답변관리,QnaAnswerListInqire,/uss/olh/qna/EgovQnaAnswerList.do,O
5140000,행정전문용어사전,listAdministrationWord,/uss/olh/awm/selectAdministrationWordDetail.do,O
5150000,행정전문용어사전관리,listAdministrationWordManage,/uss/olh/awm/selectAdministrationWordManageDetail.do,O
5160000,온라인매뉴얼,listOnlineManual,/uss/olh/omn/EgovOnlineManualDetail.do,O
5170000,사용자온라인매뉴얼,OnlineManualUserList,/uss/olh/omn/selectOnlineManualList.do,O
5180000,상담관리,CnsltListInqire,/uss/olp/cns/CnsltListInqire.do,O
5190000,상담답변관리,CnsltAnswerListInqire,/uss/olp/cnm/CnsltAnswerListInqire.do,O
5200000,설문관리,EgovQustnrManageList,/uss/olp/qmc/EgovQustnrManageList.do,O
5210000,설문조사,EgovQustnrRespondInfoManageList,/uss/olp/qnn/EgovQustnrRespondInfoManageList.do,O
5220000,설문템플릿관리,EgovQustnrTmplatManageList,/uss/olp/qtm/EgovQustnrTmplatManageList.do,O
5230000,응답자관리,EgovQustnrRespondManageList,/uss/olp/qrm/EgovQustnrRespondManageList.do,O
5240000,질문관리,EgovQustnrQestnManageList,/uss/olp/qqm/EgovQustnrQestnManageList.do,O
5250000,항목관리,EgovQustnrItemManageList,/uss/olp/qim/EgovQustnrItemManageList.do,O
5260000,회의관리,EgovMeetingManageList,/uss/olp/mgt/EgovMeetingManageList.do,O
5270000,온라인poll관리,listOnlinePollManage,/uss/olp/opm/EgovOnlinePollManageDetail.do,O
5280000,온라인poll참여,listOnlinePollPartcptn,/uss/olp/opp/listOnlinePollPartcptn.do,O
5290000,뉴스관리,NewsInfoListInqire,/uss/ion/nws/selectNewsList.do,O
5300000,사이트관리,SiteListInqire,/uss/ion/sit/selectSiteList.do,O
5310000,추천사이트관리,RecomendSiteListInqire,/uss/ion/rec/selectRecomendSiteList.do,O
5320000,행사/이벤트/캠페인,EgovEventCmpgnList,/uss/ion/ecc/selectEventCmpgnList.do,O
5330000,외부인사정보,EgovTnextrlHrInfoList,/uss/ion/ecc/EgovTnextrlHrList.do,O
5340000,팝업창관리,listPopup,/cop/com/EgovTemplateInqirePopup.do,O
5350000,정보알림이,selectNotificationList,/uss/ion/noi/EgovNotificationData.do,O
5360000,배너관리,selectBannerList,/uss/ion/bnr/selectBannerList.do,O
5370000,MYPAGE배너관리,selectBannerMainList,/uss/ion/bnr/selectBannerMainList.do,O
5380000,로그인화면이미지관리,selectLoginScrinImageList,/uss/ion/lsi/selectLoginScrinImageList.do,O
5390000,최근검색어 목록,listRecentSrchwrd,/uss/ion/rsm/EgovRecentSrchwrdDetail.do,O
5400000,메인이미지관리,selectMainImageList,/uss/ion/msi/selectMainImageList.do,O
5410000,메인이미지 반영결과보기,getMainImageResult,/uss/ion/msi/EgovMainImageView.do,O
5420000,통합링크관리,listUnityLink,/uss/ion/ulm/EgovUnityLinkDetail.do,O
5430000,사용자부재관리,selectUserAbsnceListView,/uss/ion/uas/selectUserAbsnceList.do,O
5440000,인터넷서비스안내및관리,selectIntnetSvcGuidanceList,/uss/ion/isg/selectIntnetSvcGuidanceList.do,O
5450000,Wiki기능,listWikiBookmark,/uss/ion/wik/bmk/listWikiBookmark.do,O
5460000,RSS태그관리,listRssTagManage,/uss/ion/rss/EgovRssTagManageDetail.do,O
5470000,RSS태그서비스,listRssTagService,/uss/ion/rsn/detailRssTagService.do,O
5480000,Twitter연동,selectTwitterMain,/uss/ion/tir/EgovTwitterMain.do,O
5490000,쪽지관리,registEgovNoteManage,/uss/ion/ntm/EgovNoteManage.do,O
5500000,받은쪽지함관리,listNoteRecptn,/uss/ion/ntr/EgovNoteRecptnDetail.do,O
5510000,보낸쪽지함관리,listNoteTrnsmit,/uss/ion/nts/EgovNoteTrnsmitCnfirm.do,O
5520000,회의실관리,selectMtgPlaceManageList,/uss/ion/mtg/selectMtgPlaceManageList.do,O
5530000,회의실예약관리,selectMtgPlaceResveManageList,/uss/ion/mtg/selectMtgPlaceResveManageList.do,O
5540000,직원경조사관리,selectCtsnnManageList,/uss/ion/ctn/selectCtsnnManageList.do,O
5550000,직원경조사승인관리,EgovCtsnnConfmList,/uss/ion/ctn/EgovCtsnnConfmList.do,O
5560000,휴가관리,EgovVcatnManageList,/uss/ion/vct/EgovVcatnManageList.do,O
5570000,휴가승인관리,EgovVcatnConfmList,/uss/ion/vct/EgovVcatnConfmList.do,O
5580000,당직관리,EgovBndtManageList,/uss/ion/bnt/insertBndtManageBnde.do,O
5590000,당직체크관리,EgovBndtCeckManageList,/uss/ion/bnt/EgovBndtCeckManageList.do,O
5600000,포상관리,selectRwardManageList,/uss/ion/rwd/selectRwardManageList.do,O
5610000,포상승인관리,EgovRwardConfmList,/uss/ion/rwd/EgovRwardConfmList.do,O
5620000,기념일관리,selectAnnvrsryManageList,/uss/ion/ans/insertAnnvrsryManageBnde.do,O
5630000,기념일목록(확인용),selectAnnvrsryMainList,/uss/ion/ans/selectAnnvrsryMainList.do,O
5640000,행사신청관리,EgovEventReqstManageList,/uss/ion/evt/EgovEventReqstManageList.do,O
5650000,행사접수관리,EgovEventRcrptManageList,/uss/ion/evt/EgovEventRceptManageList.do,O
5660000,행사접수승인관리,selectEventRceptConfmList,/uss/ion/evt/selectEventRceptConfmList.do,O
6000000,시스템관리,dir,/ssi/syi/sim/getSystemCntcList.do,O
6010000,공통분류코드,EgovCcmCmmnClCodeList,/sym/ccm/ccc/SelectCcmCmmnClCodeList.do,O
6020000,공통상세코드,EgovCcmCmmnDetailCodeList,/sym/ccm/cde/SelectCcmCmmnDetailCodeList.do,O
6030000,공통코드,EgovCcmCmmnCodeList,/sym/ccm/cca/EgovCcmCmmnCodeList.do,O
6040000,우편번호관리,EgovCcmZipList,/sym/ccm/zip/EgovCcmZipList.do,O
6050000,행정코드관리,EgovCcmAdministCodeList,/sym/ccm/adc/EgovCcmAdministCodeList.do,O
6060000,기관코드수신,getInsttCodeRecptnList,/sym/ccm/icr/EgovInsttCodeRecptnList.do,O
6070000,로그관리,SelectSysLogList,/sym/log/lgm/SelectSysLogList.do,O
6080000,사용로그관리,SelectUserLogList,/sym/log/ulg/SelectUserLogList.do,O
6090000,송/수신로그관리,SelectTrsmrcvLogList,/sym/log/tlg/SelectTrsmrcvLogList.do,O
6100000,시스템이력관리,SelectSysHistoryList,/sym/log/slg/SelectSysHistoryList.do,O
6110000,웹로그관리,SelectWebLogList,/sym/log/wlg/SelectWebLogList.do,O
6120000,접속로그관리,SelectLoginLogList,/sym/log/clg/SelectLoginLogList.do,O
6130000,메뉴리스트관리,EgovMenuListSelect,/sym/mnu/mpm/EgovMenuManageSelect.do,O
6140000,메뉴관리리스트,EgovMenuManageSelect,/sym/mnu/mpm/EgovMenuManageSelect.do,O
6150000,메뉴생성관리,EgovMenuCreatManageSelect,/sym/mnu/mcm/EgovMenuCreatManage.do,O
6160000,사이트맵,EgovSiteMapng,/sym/mnu/stm/EgovSiteMapng.do,O
6170000,바로가기메뉴관리,selectBkmkMenuManageList,/sym/mnu/bmm/selectBkmkMenuManageList.do,O
6180000,프로그램관리,EgovProgramListManageSelect,/sym/prm/EgovProgramListManageSelect.do,O
6190000,프로그램변경요청관리,EgovProgramChangeRequstSelect,/sym/prm/EgovProgramChangeRequstSelect.do,O
6200000,프로그램변경요청처리,EgovProgramChangeRequstProcessListSelect,/sym/prm/EgovProgramChangeRequstProcessListSelect.do,O
6210000,프로그램변경이력,EgovProgramChgHstListSelect,/sym/prm/EgovProgramChgHstListSelect.do,O
6220000,배치작업관리,getBatchOpertList,/sym/bat/EgovBatchOpertList.do,O
6230000,배치결과관리,getBatchResultList,/sym/bat/getBatchResultList.do,O
6240000,스케줄처리,getBatchSchdulList,/sym/bat/EgovBatchSchdulList.do,O
6250000,백업관리,getBackupOpertList,/sym/sym/bak/EgovBackupOpertList.do,O
6260000,백업결과관리,getBackupResultList,/sym/sym/bak/EgovBackupResultList.do,O
6270000,네트워크관리,selectNtwrkList,/sym/sym/nwk/addNtwrk.do,O
6280000,서버정보관리,selectServerEqpmnList,/sym/sym/srv/addServerEqpmn.do,O
6290000,서버(S/W)목록,selectServerList,/sym/sym/srv/addServer.do,O
6300000,장애신청관리,selectTroblReqstList,/sym/tbm/tbr/addTroblReqst.do,O
6310000,장애처리결과관리,selectTroblProcessList,/sym/tbm/tbp/selectTroblProcessList.do,O
7000000,시스템/서비스연계,dir,/ssi/syi/sim/getSystemCntcList.do,O
7010000,시스템연계관리,getSystemCntcList,/ssi/syi/sim/getSystemCntcList.do,O
7020000,연계현황관리,getCntcSttusList,/ssi/syi/ist/getCntcSttusList.do,O
7030000,연계메시지관리,getCntcMessageList,/ssi/syi/ims/getCntcMessageList.do,O
7040000,연계기관관리,getCntcInsttList,/ssi/syi/iis/EgovCntcInsttList.do,O
8000000,자산 관리,dir,/ssi/syi/sim/getSystemCntcList.do,O
8010000,개인지식관리,EgovComDamPersonalList,/dam/per/EgovComDamPersonalList.do,O
8020000,지식맵관리(유형),EgovComDamMapMaterialList,/dam/map/mat/EgovComDamMapMaterialList.do,O
8030000,지식맵관리(조직),EgovComDamMapTeamList,/dam/map/tea/EgovComDamMapTeamList.do,O
8040000,지식전문가관리,EgovComDamSpecialistList,/dam/spe/spe/EgovComDamSpecialistList.do,O
8050000,지식정보관리,EgovComDamManagementList,/dam/mgm/EgovComDamManagementList.do,O
8060000,지식평가관리,EgovComDamAppraisalList,/dam/app/EgovComDamAppraisalList.do,O
8070000,지식정보제공,listRequestOffer,/dam/spe/req/listRequestOffer.do,O
9000000,요소기술,dir,/ssi/syi/sim/getSystemCntcList.do,O
9010000,공휴일관리(달력),EgovRestdeList,/sym/cal/EgovRestdeList.do,O
9020000,송수신모니터링,getTrsmrcvMntrngList,/utl/sys/trm/EgovTrsmrcvMntrngList.do,O
9030000,DB서비스모니터링,getDbMntrngList,/utl/sys/dbm/EgovDbMntrngList.do,O
9040000,HTTP서비스모니터링,EgovComUtlHttpMonList,/utl/sys/htm/EgovComUtlHttpMonList.do,O
9050000,프로세스모니터링,EgovComUtlProcessMonList,/utl/sys/prm/EgovComUtlProcessMonList.do,O
9060000,네트워크서비스모니터링,selectNtwrkSvcMntrngList,/utl/sys/nsm/selectNtwrkSvcMntrng.do,O
9070000,파일시스템모니터링,selectFileSysMntrngList,/utl/sys/fsm/selectFileSysMntrng.do,O
9080000,프록시서비스,selectProxySvcList,/utl/sys/pxy/addProxySvc.do,O
9090000,파일동기화(대상서버),selectSynchrnServerList,/utl/sys/ssy/addSynchrnServer.do,O
9100000,로그인세션정보체크,loginSessionView,/utl/sys/rsc/EgovLoginSesionCheck.do,O
9110000,서버자원모니터링-대상목록,selectMntrngServerList,/utl/sys/srm/selectMntrngServerList.do,O
