progrm_file_nm,progrm_korean_nm,url
CnsltAnswerListInqire,상담답변관리,/uss/olp/cnm/CnsltAnswerListInqire.do
CnsltListInqire,상담관리,/uss/olp/cns/CnsltListInqire.do
CpyrhtPrtcPolicyListInqire,저작권보호정책,/uss/sam/cpy/CpyrhtPrtcPolicyListInqire.do
dir,디렉토리,/ssi/syi/sim/getSystemCntcList.do
EgovAllSchdulManageList,전체일정관리,/cop/smt/sam/EgovAllSchdulManageList.do
EgovAuthorGroupList,권한그룹관리,/sec/rgm/EgovAuthorGroupList.do
EgovAuthorList,권한관리,/sec/ram/EgovAuthorList.do
EgovBndtCeckManageList,당직체크관리,/uss/ion/bnt/EgovBndtCeckManageList.do
EgovBndtManageList,당직관리,/uss/ion/bnt/insertBndtManageBnde.do
EgovCcmAdministCodeList,행정코드관리,/sym/ccm/adc/EgovCcmAdministCodeList.do
EgovCcmCmmnClCodeList,공통분류코드,/sym/ccm/ccc/SelectCcmCmmnClCodeList.do
EgovCcmCmmnCodeList,공통코드,/sym/ccm/cca/EgovCcmCmmnCodeList.do
EgovCcmCmmnDetailCodeList,공통상세코드,/sym/ccm/cde/SelectCcmCmmnDetailCodeList.do
EgovCcmZipList,우편번호관리,/sym/ccm/zip/EgovCcmZipList.do
EgovComDamAppraisalList,지식평가관리,/dam/app/EgovComDamAppraisalList.do
EgovComDamManagementList,지식정보관리,/dam/mgm/EgovComDamManagementList.do
EgovComDamMapMaterialList,지식맵관리(유형),/dam/map/mat/EgovComDamMapMaterialList.do
EgovComDamMapTeamList,지식맵관리(조직),/dam/map/tea/EgovComDamMapTeamList.do
EgovComDamPersonalList,개인지식관리,/dam/per/EgovComDamPersonalList.do
EgovComDamSpecialistList,지식전문가관리,/dam/spe/spe/EgovComDamSpecialistList.do
EgovComUtlHttpMonList,HTTP서비스모니터링,/utl/sys/htm/EgovComUtlHttpMonList.do
EgovComUtlProcessMonList,프로세스모니터링,/utl/sys/prm/EgovComUtlProcessMonList.do
EgovCtsnnConfmList,직원경조사승인관리,/uss/ion/ctn/EgovCtsnnConfmList.do
EgovDeptAuthorList,부서권한관리,/sec/ram/EgovAuthorList.do
EgovDeptSchdulManageList,부서일정관리,/cop/smt/sdm/EgovDeptSchdulManageList.do
EgovDiaryManageList,일지관리,/cop/smt/dsm/EgovDiaryManageList.do
EgovEntrprsMberManage,기업회원관리,/uss/umt/EgovEntrprsMberManage.do
EgovEventCmpgnList,행사/이벤트/캠페인,/uss/ion/ecc/selectEventCmpgnList.do
EgovEventRcrptManageList,행사접수관리,/uss/ion/evt/EgovEventRceptManageList.do
EgovEventReqstManageList,행사신청관리,/uss/ion/evt/EgovEventReqstManageList.do
EgovGroupList,그룹관리,/sec/gmt/EgovGroupListView.do
EgovIndvdlpgeCntntsList,마이페이지관리,/uss/mpe/EgovIndvdlPgeList.do
EgovIndvdlSchdulManageList,일정관리,/cop/smt/sim/EgovIndvdlSchdulManageList.do
egovLoginUsr,로그인,/uat/uia/egovLoginUsr.do
EgovMberManage,일반회원관리,/uss/umt/EgovMberManage.do
EgovMeetingManageList,회의관리,/uss/olp/mgt/EgovMeetingManageList.do
EgovMenuCreatManageSelect,메뉴생성관리,/sym/mnu/mcm/EgovMenuCreatManage.do
EgovMenuListSelect,메뉴리스트관리,/sym/mnu/mpm/EgovMenuManageSelect.do
EgovMenuManageSelect,메뉴관리리스트,/sym/mnu/mpm/EgovMenuManageSelect.do
EgovProgramChangeRequstProcessListSelect,프로그램변경요청처리,/sym/prm/EgovProgramChangeRequstProcessListSelect.do
EgovProgramChangeRequstSelect,프로그램변경요청관리,/sym/prm/EgovProgramChangeRequstSelect.do
EgovProgramChgHstListSelect,프로그램변경이력,/sym/prm/EgovProgramChgHstListSelect.do
EgovProgramListManageSelect,프로그램관리,/sym/prm/EgovProgramListManageSelect.do
EgovQustnrItemManageList,항목관리,/uss/olp/qim/EgovQustnrItemManageList.do
EgovQustnrManageList,설문관리,/uss/olp/qmc/EgovQustnrManageList.do
EgovQustnrQestnManageList,질문관리,/uss/olp/qqm/EgovQustnrQestnManageList.do
EgovQustnrRespondInfoManageList,설문조사,/uss/olp/qnn/EgovQustnrRespondInfoManageList.do
EgovQustnrRespondManageList,응답자관리,/uss/olp/qrm/EgovQustnrRespondManageList.do
EgovQustnrTmplatManageList,설문템플릿관리,/uss/olp/qtm/EgovQustnrTmplatManageList.do
EgovRestdeList,공휴일관리(달력),/sym/cal/EgovRestdeList.do
EgovRoleList,롤관리,/sec/rmt/EgovRoleList.do
EgovRwardConfmList,포상승인관리,/uss/ion/rwd/EgovRwardConfmList.do
EgovSiteMapng,사이트맵,/sym/mnu/stm/EgovSiteMapng.do
EgovTnextrlHrInfoList,외부인사정보,/uss/ion/ecc/EgovTnextrlHrList.do
EgovUserManage,업무사용자관리,/uss/umt/EgovUserManage.do
EgovVcatnConfmList,휴가승인관리,/uss/ion/vct/EgovVcatnConfmList.do
EgovVcatnManageList,휴가관리,/uss/ion/vct/EgovVcatnManageList.do
FaqListInqire,FAQ관리,/uss/olh/faq/selectFaqList.do
getBackupOpertList,백업관리,/sym/sym/bak/EgovBackupOpertList.do
getBackupResultList,백업결과관리,/sym/sym/bak/EgovBackupResultList.do
getBatchOpertList,배치작업관리,/sym/bat/EgovBatchOpertList.do
getBatchResultList,배치결과관리,/sym/bat/getBatchResultList.do
getBatchSchdulList,스케줄처리,/sym/bat/EgovBatchSchdulList.do
getCntcInsttList,연계기관관리,/ssi/syi/iis/EgovCntcInsttList.do
getCntcMessageList,연계메시지관리,/ssi/syi/ims/getCntcMessageList.do
getCntcSttusList,연계현황관리,/ssi/syi/ist/getCntcSttusList.do
getDbMntrngList,DB서비스모니터링,/utl/sys/dbm/EgovDbMntrngList.do
getInsttCodeRecptnList,기관코드수신,/sym/ccm/icr/EgovInsttCodeRecptnList.do
getMainImageResult,메인이미지 반영결과보기,/uss/ion/msi/EgovMainImageView.do
getSystemCntcList,시스템연계관리,/ssi/syi/sim/getSystemCntcList.do
getTrsmrcvMntrngList,송수신모니터링,/utl/sys/trm/EgovTrsmrcvMntrngList.do
HpcmListInqire,도움말,/uss/olh/hpc/selectHpcmList.do
insertSndngMailView,메일발송,/cop/ems/EgovMailRegist.do
listAdministrationWord,행정전문용어사전,/uss/olh/awm/selectAdministrationWordDetail.do
listAdministrationWordManage,행정전문용어사전관리,/uss/olh/awm/selectAdministrationWordManageDetail.do
listIndvdlInfoPolicy,개인정보보호정책확인,/uss/sam/ipm/EgovIndvdlInfoPolicyDetail.do
listNoteRecptn,받은쪽지함관리,/uss/ion/ntr/EgovNoteRecptnDetail.do
listNoteTrnsmit,보낸쪽지함관리,/uss/ion/nts/EgovNoteTrnsmitCnfirm.do
listOnlineManual,온라인매뉴얼,/uss/olh/omn/EgovOnlineManualDetail.do
listOnlinePollManage,온라인poll관리,/uss/olp/opm/EgovOnlinePollManageDetail.do
listOnlinePollPartcptn,온라인poll참여,/uss/olp/opp/listOnlinePollPartcptn.do
listPopup,팝업창관리,/cop/com/EgovTemplateInqirePopup.do
listRecentSrchwrd,최근검색어 목록,/uss/ion/rsm/EgovRecentSrchwrdDetail.do
listRequestOffer,지식정보제공,/dam/spe/req/listRequestOffer.do
listRssTagManage,RSS태그관리,/uss/ion/rss/EgovRssTagManageDetail.do
listRssTagService,RSS태그서비스,/uss/ion/rsn/detailRssTagService.do
listUnityLink,통합링크관리,/uss/ion/ulm/EgovUnityLinkDetail.do
listWikiBookmark,Wiki기능,/uss/ion/wik/bmk/listWikiBookmark.do
loginSessionView,로그인세션정보체크,/utl/sys/rsc/EgovLoginSesionCheck.do
NewsInfoListInqire,뉴스관리,/uss/ion/nws/selectNewsList.do
OnlineManualUserList,사용자온라인매뉴얼,/uss/olh/omn/selectOnlineManualList.do
QnaAnswerListInqire,Q&amp;A답변관리,/uss/olh/qna/EgovQnaAnswerList.do
QnaListInqire,Q&amp;A관리,/uss/olh/qna/selectQnaList.do
RecomendSiteListInqire,추천사이트관리,/uss/ion/rec/selectRecomendSiteList.do
registEgovNoteManage,쪽지관리,/uss/ion/ntm/EgovNoteManage.do
selectAdbkList,주소록관리,/cop/adb/EgovAddressBookList.do
selectAnnvrsryMainList,기념일목록(확인용),/uss/ion/ans/selectAnnvrsryMainList.do
selectAnnvrsryManageList,기념일관리,/uss/ion/ans/insertAnnvrsryManageBnde.do
selectBannerList,배너관리,/uss/ion/bnr/selectBannerList.do
selectBannerMainList,MYPAGE배너관리,/uss/ion/bnr/selectBannerMainList.do
SelectBBSMasterInfs,게시판속성관리,/cop/bbs/selectBBSMasterInfs.do
selectBbsStats,게시물통계,/sts/bst/selectBbsStats.do
selectBBSUseInfs,게시판사용정보,/cop/bbs/EgovArticleList.do
selectBkmkMenuManageList,바로가기메뉴관리,/sym/mnu/bmm/selectBkmkMenuManageList.do
selectCmmntyInfs,커뮤니티관리,/cop/cmy/EgovCommuMain.do
selectConectStats,접속통계,/sts/cst/selectConectStats.do
selectCtsnnManageList,직원경조사관리,/uss/ion/ctn/selectCtsnnManageList.do
selectDeptJobBxList,부서업무함관리,/cop/smt/djm/EgovDeptJobBxList.do
selectDeptJobList,부서업무정보,/cop/smt/djm/EgovDeptJobBxList.do
selectDeptManageListView,부서관리,/sec/drm/EgovDeptAuthorList.do
selectDtaUseStatsList,자료이용현황통계,/sts/dst/getDtaUseStats.do
selectEventRceptConfmList,행사접수승인관리,/uss/ion/evt/selectEventRceptConfmList.do
selectFileSysMntrngList,파일시스템모니터링,/utl/sys/fsm/selectFileSysMntrng.do
selectIntnetSvcGuidanceList,인터넷서비스안내및관리,/uss/ion/isg/selectIntnetSvcGuidanceList.do
selectLeaderSchdulList,간부일정관리,/cop/smt/lsm/usr/selectLeaderSchdulDailyList.do
SelectLoginLogList,접속로그관리,/sym/log/clg/SelectLoginLogList.do
selectLoginPolicyList,로그인정책관리,/uat/uap/selectLoginPolicyList.do
selectLoginScrinImageList,로그인화면이미지관리,/uss/ion/lsi/selectLoginScrinImageList.do
selectMainImageList,메인이미지관리,/uss/ion/msi/selectMainImageList.do
selectMemoReprtList,메모보고,/cop/smt/mrm/selectMemoReprt.do
selectMemoTodoList,메모할일관리,/cop/smt/mtm/selectMemoTodo.do
selectMntrngServerList,서버자원모니터링-대상목록,/utl/sys/srm/selectMntrngServerList.do
selectMtgPlaceManageList,회의실관리,/uss/ion/mtg/selectMtgPlaceManageList.do
selectMtgPlaceResveManageList,회의실예약관리,/uss/ion/mtg/selectMtgPlaceResveManageList.do
selectMyNcrdUseInf,내명함목록,/cop/ncm/selectMyNcrdUseInf.do
selectNcrdInfs,명함관리,/cop/ncm/selectNcrdInfs.do
selectNotificationList,정보알림이,/uss/ion/noi/EgovNotificationData.do
selectNtwrkList,네트워크관리,/sym/sym/nwk/addNtwrk.do
selectNtwrkSvcMntrngList,네트워크서비스모니터링,/utl/sys/nsm/selectNtwrkSvcMntrng.do
selectProxySvcList,프록시서비스,/utl/sys/pxy/addProxySvc.do
selectReprtStatsListView,보고서통계,/sts/rst/selectReprtStatsList.do
selectRwardManageList,포상관리,/uss/ion/rwd/selectRwardManageList.do
selectScrapList,스크랩 목록,/cop/scp/selectArticleScrapDetail.do
selectScrinStats,화면통계,/sts/sst/selectScrinStats.do
selectServerEqpmnList,서버정보관리,/sym/sym/srv/addServerEqpmn.do
selectServerList,서버(S/W)목록,/sym/sym/srv/addServer.do
selectSmsList,문자메시지,/cop/sms/EgovSmsInfoList.do
selectSndngMailList,발송메일내역,/cop/ems/EgovMailDtls.do
selectSynchrnServerList,파일동기화(대상서버),/utl/sys/ssy/addSynchrnServer.do
SelectSysHistoryList,시스템이력관리,/sym/log/slg/SelectSysHistoryList.do
SelectSysLogList,로그관리,/sym/log/lgm/SelectSysLogList.do
selectTemplateInfs,템플릿관리,/cop/com/EgovTemplateInqirePopup.do
selectTroblProcessList,장애처리결과관리,/sym/tbm/tbp/selectTroblProcessList.do
selectTroblReqstList,장애신청관리,/sym/tbm/tbr/addTroblReqst.do
SelectTrsmrcvLogList,송/수신로그관리,/sym/log/tlg/SelectTrsmrcvLogList.do
selectTwitterMain,Twitter연동,/uss/ion/tir/EgovTwitterMain.do
selectUserAbsnceListView,사용자부재관리,/uss/ion/uas/selectUserAbsnceList.do
SelectUserLogList,사용로그관리,/sym/log/ulg/SelectUserLogList.do
selectUserStats,사용자통계,/sts/ust/selectUserStats.do
