2025-12-30T21:18:35.683+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springdoc:springdoc-openapi-starter-common:2.5.0 configuration runtime from candidates [org.springdoc:springdoc-openapi-starter-common:2.5.0 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.683+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match io.swagger.core.v3:swagger-core-jakarta:2.2.21 configuration runtime from candidates [io.swagger.core.v3:swagger-core-jakarta:2.2.21 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.684+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.apache.commons:commons-lang3:3.17.0 configuration runtime from candidates [org.apache.commons:commons-lang3:3.17.0 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.684+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.postgresql:postgresql:42.7.3 configuration runtime from candidates [org.postgresql:postgresql:42.7.3 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.684+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match io.swagger.core.v3:swagger-annotations-jakarta:2.2.27 configuration runtime from candidates [io.swagger.core.v3:swagger-annotations-jakarta:2.2.27 configuration runtime] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.684+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework.boot:spring-boot-starter-security:3.3.7 variant runtimeElements from candidates [org.springframework.boot:spring-boot-starter-security:3.3.7 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.684+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework.boot:spring-boot-starter-json:3.3.7 variant runtimeElements from candidates [org.springframework.boot:spring-boot-starter-json:3.3.7 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.684+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework.boot:spring-boot-starter-data-jpa:3.3.7 variant runtimeElements from candidates [org.springframework.boot:spring-boot-starter-data-jpa:3.3.7 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.685+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework.boot:spring-boot-starter-jdbc:3.3.7 variant runtimeElements from candidates [org.springframework.boot:spring-boot-starter-jdbc:3.3.7 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.685+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework.boot:spring-boot-starter-aop:3.3.7 variant runtimeElements from candidates [org.springframework.boot:spring-boot-starter-aop:3.3.7 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
2025-12-30T21:18:35.685+0900 [DEBUG] [org.gradle.internal.component.model.LoggingAttributeMatchingExplanationBuilder] Selected match org.springframework.boot:spring-boot-starter:3.3.7 variant runtimeElements from candidates [org.springframework.boot:spring-boot-starter:3.3.7 variant runtimeElements] for {org.gradle.category=library, org.gradle.dependency.bundling=external, org.gradle.jvm.environment=standard-jvm, org.gradle.jvm.version=21, org.gradle.libraryelements=jar, org.gradle.usage=java-runtime}
