menu_no,menu_nm,progrm_file_nm,url
6000000,시스템관리,dir,/ssi/syi/sim/getSystemCntcList.do
6010000,공통분류코드,EgovCcmCmmnClCodeList,/sym/ccm/ccc/SelectCcmCmmnClCodeList.do
6020000,공통상세코드,EgovCcmCmmnDetailCodeList,/sym/ccm/cde/SelectCcmCmmnDetailCodeList.do
6030000,공통코드,EgovCcmCmmnCodeList,/sym/ccm/cca/EgovCcmCmmnCodeList.do
6040000,우편번호관리,EgovCcmZipList,/sym/ccm/zip/EgovCcmZipList.do
6050000,행정코드관리,EgovCcmAdministCodeList,/sym/ccm/adc/EgovCcmAdministCodeList.do
6060000,기관코드수신,getInsttCodeRecptnList,/sym/ccm/icr/EgovInsttCodeRecptnList.do
6070000,로그관리,SelectSysLogList,/sym/log/lgm/SelectSysLogList.do
6080000,사용로그관리,SelectUserLogList,/sym/log/ulg/SelectUserLogList.do
6090000,송/수신로그관리,SelectTrsmrcvLogList,/sym/log/tlg/SelectTrsmrcvLogList.do
6100000,시스템이력관리,SelectSysHistoryList,/sym/log/slg/SelectSysHistoryList.do
6110000,웹로그관리,SelectWebLogList,/sym/log/wlg/SelectWebLogList.do
6120000,접속로그관리,SelectLoginLogList,/sym/log/clg/SelectLoginLogList.do
6130000,메뉴리스트관리,EgovMenuListSelect,/sym/mnu/mpm/EgovMenuManageSelect.do
6140000,메뉴관리리스트,EgovMenuManageSelect,/sym/mnu/mpm/EgovMenuManageSelect.do
6150000,메뉴생성관리,EgovMenuCreatManageSelect,/sym/mnu/mcm/EgovMenuCreatManage.do
6160000,사이트맵,EgovSiteMapng,/sym/mnu/stm/EgovSiteMapng.do
6170000,바로가기메뉴관리,selectBkmkMenuManageList,/sym/mnu/bmm/selectBkmkMenuManageList.do
6180000,프로그램관리,EgovProgramListManageSelect,/sym/prm/EgovProgramListManageSelect.do
6190000,프로그램변경요청관리,EgovProgramChangeRequstSelect,/sym/prm/EgovProgramChangeRequstSelect.do
6200000,프로그램변경요청처리,EgovProgramChangeRequstProcessListSelect,/sym/prm/EgovProgramChangeRequstProcessListSelect.do
6210000,프로그램변경이력,EgovProgramChgHstListSelect,/sym/prm/EgovProgramChgHstListSelect.do
6220000,배치작업관리,getBatchOpertList,/sym/bat/EgovBatchOpertList.do
6230000,배치결과관리,getBatchResultList,/sym/bat/getBatchResultList.do
6240000,스케줄처리,getBatchSchdulList,/sym/bat/EgovBatchSchdulList.do
6250000,백업관리,getBackupOpertList,/sym/sym/bak/EgovBackupOpertList.do
6260000,백업결과관리,getBackupResultList,/sym/sym/bak/EgovBackupResultList.do
6270000,네트워크관리,selectNtwrkList,/sym/sym/nwk/addNtwrk.do
6280000,서버정보관리,selectServerEqpmnList,/sym/sym/srv/addServerEqpmn.do
6290000,서버(S/W)목록,selectServerList,/sym/sym/srv/addServer.do
6300000,장애신청관리,selectTroblReqstList,/sym/tbm/tbr/addTroblReqst.do
6310000,장애처리결과관리,selectTroblProcessList,/sym/tbm/tbp/selectTroblProcessList.do
