progrm_file_nm,url
EgovCcmCmmnClCodeList,/cmm/sym/ccm/EgovCcmCmmnClCodeList.do
EgovQustnrManageList,/uss/olp/qmc/EgovQustnrManageList.do
FaqListInqire,/uss/olh/faq/EgovFaqList.do
CnsltListInqire,/uss/olp/cns/EgovCnsltListInqire.do
EgovQustnrTmplatManageList,/uss/olp/qtm/EgovQustnrTmplatManageList.do
EgovDiaryManageList,/cop/smt/dsm/EgovDiaryManageList.do
EgovVcatnConfmList,/uss/ion/vct/EgovVcatnConfmList.do
EgovProgramChgHstListSelect,/sym/prm/EgovProgramChgHst.do
EgovEntrprsMberManage,/uss/umt/EgovEntrprsMberManage.do
EgovGroupList,/sec/gmt/EgovGroupManage.do
EgovQustnrRespondManageList,/uss/olp/qrm/EgovQustnrRespondManageList.do
EgovTnextrlHrInfoList,/uss/ion/ecc/EgovTnextrlHrList.do
EgovQustnrItemManageList,/uss/olp/qim/EgovQustnrItemManageList.do
EgovVcatnManageList,/uss/ion/vct/EgovVcatnManageList.do
EgovEventCmpgnList,/uss/ion/ecc/EgovEventCmpgnList.do
EgovCcmZipList,/cmm/sym/zip/EgovCcmZipList.do
EgovRwardConfmList,/uss/ion/rwd/EgovRwardConfmList.do
EgovQustnrQestnManageList,/uss/olp/qqm/EgovQustnrQestnManageList.do
EgovComDamSpecialistList,/dam/spe/spe/EgovComDamSpecialistList.do
EgovSiteMapng,/sym/mnu/stm/EgovSiteMapng.do
EgovCcmCmmnDetailCodeList,/cmm/sym/ccm/EgovCcmCmmnDetailCodeList.do
getBackupOpertList,/sym/sym/bak/EgovBackupOpertList.do
EgovAllSchdulManageList,/cop/smt/sam/EgovAllSchdulManageList.do
EgovMenuListSelect,/sym/mnu/mpm/EgovMenuManage.do
EgovProgramListManageSelect,/sym/prm/EgovProgramListManage.do
EgovAuthorGroupList,/sec/rgm/EgovAuthorGroupManage.do
EgovMenuCreatManageSelect,/sym/mnu/mcm/EgovMenuCreatManage.do
EgovComDamPersonalList,/dam/per/EgovComDamPersonalList.do
EgovComDamMapTeamList,/dam/map/tea/EgovComDamMapTeamList.do
EgovEventRcrptManageList,/uss/ion/evt/EgovEventRceptManageList.do
